killer
Accident
Allister Thorne
Amory Lorch
Arryn soldier
Arthur Dayne
Arya Stark
Baelish soldier
Baratheon of Dragonstone soldier
Baratheon of King’s Landing soldier
Barristan Selmy
Benjen Stark
Beric Dondarrion
Black Walder Rivers
Boar
Bolton soldier
Bounty hunter
Brienne of Tarth
Bronn
Brotherhood Without Banners rogue
Catelyn Stark
Cersei Lannister
Child of the Forest
City watch guard
Daario Naharis
Daenerys Targaryen
Dickon Tarly
Direwolf
Dothraki man
Dothraki rider
Drogon
Eddison Tollett
Ellaria Sand
Euron Greyjoy
Faceless man
Frey soldier
Gendry
Gerold Hightower
Ghost
Giant mammoth
Giant wight
Gregor “the Mountain” Clegane
Grenn
Grey Wind
Grey Worm
Greyjoy (Euron-aligned) soldier
Greyjoy (Yara-aligned) soldier
Greyjoy soldier
Hill tribesman
Himself
Hodor/Bran Stark
Horse
Ilyn Payne
Jaime Lannister
Janos Slynt
Jaqen H’ghar
Jeor Mormont
Joffrey Baratheon
Jon Snow
Jon Umber
Jorah Mormont
Jory Cassel
Karl Tanner
Karsi
Karstark soldier
Khal Drogo
Lannister soldier
Leaf
Locke
Loras Tyrell
Lothar Frey
Lyanna Mormont
Lysa Arryn
Magnar Loboda
Meera Reed
Meereen slaves
Meereenese champion pit fighter
Melisandre “the Red Woman” of Asshai
Meryn Trant
Mirri Maz Duur
Mossador
Ned Stark
Night King
Night’s Watch brother
Night’s Watch brothers (final blow: Olly)
Night’s Watch mutineer
Nymeria Sand
Obara Sand
Olenna Tyrell
Olly
Osha
Peasants
Petyr Baelish
Pit fighter
Podrick Payne
Polliver
Pyat Pree
Pypar
Qhorin Halfhand
Qyburn
Qyburn’s “Little Birds”
Ramsay Bolton
Rast
Rhaegal
Rickard Karstark
Robb Stark
Rodrik Cassel
Roose Bolton
Sally's father
Sam Tarly
Sandor “the Hound” Clegane
Sansa Stark
Selyse Baratheon
Shaggydog
Son of the Harpy
Stag
Stannis Baratheon
Stark Soldier
Stark soldier
Styr
Summer
The Tickler
The Waif
Thenn raider
Theon Grejoy
Theon Greyjoy
Tommen Baratheon
Tormund
Tribesman
Tyene Sand
Tyrion Lannister
Unknown
Unknown (possible rival Dothraki men)
Unsullied
Viserion
Viserion (Wight)
Water dancer pit fighter
White Walker
Wight
Wight child
Wight hunt party member
Wight snow bear
Wildling
Wildling giant
Wun Weg Wun Dar Wun
Yara Greyjoy
Ygritte
Yoren
Yunkai soldier
""
